timestamp,course,motivation_required_course,motivation_keep_current,motivation_career_advancement,motivation_career_change,motivation_prof_dev,motivation_job_displacement,motivation_relocation,motivation_it_certifications,motivation_financial,motivation_enrichment,motivation_curiosity,prior_to_applying_to_college_did_you_participate_in_any_of_the_following_events_or_activities_at_the_county_college_of_morris_and_or_with_the_department_of_information_technologies_if_at_all_open_house,prior_to_applying_to_college_did_you_participate_in_any_of_the_following_events_or_activities_at_the_county_college_of_morris_and_or_with_the_department_of_information_technologies_if_at_all_instant_decision_day,prior_to_applying_to_college_did_you_participate_in_any_of_the_following_events_or_activities_at_the_county_college_of_morris_and_or_with_the_department_of_information_technologies_if_at_all_on-campus_information_session,prior_to_applying_to_college_did_you_participate_in_any_of_the_following_events_or_activities_at_the_county_college_of_morris_and_or_with_the_department_of_information_technologies_if_at_all_titans_tuesday_virtual_information_session,prior_to_applying_to_college_did_you_participate_in_any_of_the_following_events_or_activities_at_the_county_college_of_morris_and_or_with_the_department_of_information_technologies_if_at_all_women_who_dare,prior_to_applying_to_college_did_you_participate_in_any_of_the_following_events_or_activities_at_the_county_college_of_morris_and_or_with_the_department_of_information_technologies_if_at_all_regional_college_fair,to_what_extent_did_the_following_activities_or_experience_impact_your_decision_to_enroll_in_an_computing_course_at_ccm_middle_high_school_computing_class,to_what_extent_did_the_following_activities_or_experience_impact_your_decision_to_enroll_in_an_computing_course_at_ccm_middle_high_school_computing_related_club,to_what_extent_did_the_following_activities_or_experience_impact_your_decision_to_enroll_in_an_computing_course_at_ccm_computing-related_competitions_e.g._robotics_competition_lego_competition_cybersecurity_programming,to_what_extent_did_the_following_activities_or_experience_impact_your_decision_to_enroll_in_an_computing_course_at_ccm_afterschool_computing-related_camp_program,to_what_extent_did_the_following_activities_or_experience_impact_your_decision_to_enroll_in_an_computing_course_at_ccm_summer_computing_related_camp_program,to_what_extent_did_the_following_activities_or_experience_impact_your_decision_to_enroll_in_an_computing_course_at_ccm_an_ap_computing_class,to_what_extent_did_the_following_activities_or_experience_impact_your_decision_to_enroll_in_an_computing_course_at_ccm_a_dual_enrollment_computing_class,to_what_extent_did_the_following_activities_or_experience_impact_your_decision_to_enroll_in_an_computing_course_at_ccm_family_or_friend_influence,to_what_extent_did_the_following_activities_or_experience_impact_your_decision_to_enroll_in_an_computing_course_at_ccm_family_or_friend_working_in_the_computing_field,to_what_extent_did_the_following_activities_or_experience_impact_your_decision_to_enroll_in_an_computing_course_at_ccm_high_school_teacher_or_guidance_counselor,to_what_extent_did_the_following_activities_or_experience_impact_your_decision_to_enroll_in_an_computing_course_at_ccm_employer_influence,how_did_you_hear_about_county_college_of_morris_ccm_web_site,how_did_you_hear_about_county_college_of_morris_billboard,how_did_you_hear_about_county_college_of_morris_television,how_did_you_hear_about_county_college_of_morris_radio,how_did_you_hear_about_county_college_of_morris_social_media,how_did_you_hear_about_county_college_of_morris_community_event,how_did_you_hear_about_county_college_of_morris_family_member_or_friend,how_did_you_hear_about_county_college_of_morris_employer,how_did_you_hear_about_county_college_of_morris_current_student,how_did_you_hear_about_county_college_of_morris_alumni,how_did_you_hear_about_county_college_of_morris_high_school,to_what_extent_did_the_following_impact_your_decision_to_attend_county_college_of_morris_affordable_cost,to_what_extent_did_the_following_impact_your_decision_to_attend_county_college_of_morris_location_convenience,to_what_extent_did_the_following_impact_your_decision_to_attend_county_college_of_morris_choice_of_programs,to_what_extent_did_the_following_impact_your_decision_to_attend_county_college_of_morris_online_offerings,to_what_extent_did_the_following_impact_your_decision_to_attend_county_college_of_morris_family_friend_referral,to_what_extent_did_the_following_impact_your_decision_to_attend_county_college_of_morris_faculty_staff,to_what_extent_did_the_following_impact_your_decision_to_attend_county_college_of_morris_college_reputation,to_what_extent_did_the_following_impact_your_decision_to_attend_county_college_of_morris_scholarships,to_what_extent_did_the_following_impact_your_decision_to_attend_county_college_of_morris_transfer_student,to_what_extent_did_the_following_impact_your_decision_to_attend_county_college_of_morris_small_class_sizes,to_what_extent_did_the_following_impact_your_decision_to_attend_county_college_of_morris_extra_curricula_opportunities,what_degree_program_are_you_currently_enrolled_in,did_you_receive_information_about_our_computing_course_from_any_of_the_following_sources_high_school_guidance_counselor,did_you_receive_information_about_our_computing_course_from_any_of_the_following_sources_ccm_information_technologies_website,did_you_receive_information_about_our_computing_course_from_any_of_the_following_sources_ccm_admissions,did_you_receive_information_about_our_computing_course_from_any_of_the_following_sources_ccm_advisor_counselor,did_you_receive_information_about_our_computing_course_from_any_of_the_following_sources_employer,did_you_receive_information_about_our_computing_course_from_any_of_the_following_sources_other,on_a_scale_of_1_to_5_with_1_being_not_at_all_interested_and_5_being_extremely_interested_how_interested_are_you_taking_more_courses_in_computer_science_information_technology_or_game_development,interest_web_development,interest_cybersecurity,interest_app_development,interest_data_analytics,interest_ml_ai,interest_programming,interest_game_design,interest_hardware_repair,gender,race,age
2024/09/10 10:47:35 AM AST,cmp 126 computer technology and applications,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No Impact,No Impact,High Impact,,,,,Some Impact,,High Impact,,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Liberal Arts,Yes,Yes,Yes,Yes,No,Don't recall,2,Yes,Yes,No,No,No,No,No,No,prefer not to say,hispanic or latino;black/african american;white/caucasian;multi-racial,19-20
2024/09/10 11:00:05 AM AST,cmp 126 computer technology and applications,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,,High Impact,High Impact,child psychology ,No,No,No,No,No,No,3,No,Yes,Yes,Yes,Yes,Yes,No,No,woman,hispanic or latino,19-20
2024/09/10 11:02:51 AM AST,cmp 126 computer technology and applications,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,,No Impact,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,No Impact,No Impact,No Impact,Broadcasting Arts and Technology,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,5,Yes,No,Yes,No,Yes,Yes,Yes,Yes,man,choose not to reply,18 and younger
2024/09/10 11:05:25 AM AST,cmp 126 computer technology and applications,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Some Impact,High Impact,Some Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,analyst,No,No,Don't recall,No,Yes,No,3,No,No,No,Yes,No,No,Yes,No,man,hispanic or latino,19-20
2024/09/10 8:37:36 PM AST,cmp 101 computer information literacy,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Some Impact,No Impact,,,,,,Some Impact,,,Some Impact,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Journalism,No,No,Yes,Yes,Don't recall,Don't recall,3,No,No,No,No,No,No,No,No,woman,white/caucasian,19-20
2024/09/10 9:29:27 PM AST,cmp 101 computer information literacy,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Liberal Arts,Yes,Yes,No,Yes,No,No,3,Yes,No,Yes,No,No,No,Yes,No,woman,white/caucasian,19-20
2024/09/10 10:52:37 PM AST,cmp 101 computer information literacy,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Not Sure,No,Not Sure,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,Yes,Some Impact,Some Impact,High Impact,,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Early Childhood Education,No,No,No,No,No,Yes,3,No,No,No,No,No,No,Yes,No,woman,hispanic or latino,19-20
2024/09/11 10:54:10 AM AST,cmp 101 computer information literacy,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Some Impact,No Impact,High Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Nursing,No,No,No,Yes,No,No,3,No,No,No,No,No,No,No,No,woman,hispanic or latino;black/african american,18 and younger
2024/09/11 12:40:52 PM AST,cmp 126 computer technology and applications,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Liberal Arts,No,No,No,Yes,No,No,2,No,No,No,Yes,No,No,No,Yes,woman,white/caucasian,19-20
2024/09/11 7:06:45 PM AST,cmp 101 computer information literacy,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Liberal Arts,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,woman,white/caucasian,19-20
